sort_num|address|city|state|zip|borough_detail|address_remark|date_t|deliver_type|remark|iron_box|plastic_box|selling_box|paper_shelf|mon|tue|wed|thu|fri|sat|sun|latitude|longitude|created_at|
|5701 Main St|Flushing|NY|11355|Queens|Deli & Grocery店边，在Booth memorial Ave上||Newspaper box|||1|||50|50|50|50|50|25|0|40.7465291|-73.8261653|2014-08-17 21:49:44 -0400|
|4350 Main St|Flushing|NY|11355|Queens|Queens Botanical Garden门口||Newspaper box||1||||60|60|60|60|80|75|0|40.7515378|-73.82611709999999|2014-08-17 21:49:44 -0400|
|4201 Main St|Flushing|NY|11355|Queens|Main St & Maple Ave，枫林小馆门口||Newspaper box||1||||115|115|115|115|160|90|0|40.755378|-73.827609|2014-08-17 21:49:44 -0400|
|4201 Main St|Flushing|NY|11355|Queens|Main St & Maple Ave，枫林小馆门口||Coin box||||1||10|10|10|10|10|10|0|40.755378|-73.827609|2014-08-17 21:49:45 -0400|
|4182 Main St|Flushing|NY|11355|Queens|Main St & Maple Ave，昌发超市||Newspaper box|新報箱||1|||50|50|50|50|100|75|0|40.75554|-73.82879199999999|2014-08-17 21:49:45 -0400|
|4179 Main St|Flushing|NY|11355|Queens|Maple Ave和 Sanford Ave之间 ，新金山超市||Newspaper box|||1|||50|50|50|50|75|75|0|40.756036|-73.827962|2014-08-17 21:49:45 -0400|
|4128 Main St|Flushing|NY|11355|Queens|Main St & 41St  Rd，Corner 黄金商场||Newspaper box||1||||75|75|75|75|100|75|0|40.757345|-73.82904049999999|2014-08-17 21:49:46 -0400|
|4107 Kissena Blvd|Flushing|NY|11355|Queens|越南牛肉河粉门口||Newspaper box||1||||50|50|50|50|100|75|0|40.7583823|-73.8293161|2014-08-17 21:49:46 -0400|
|4044 Main St|Flushing|NY|11354|Queens|between 41St  Ave & 40th  Rd之间  退党中心||Newspaper box||1||||50|50|50|50|40|40|0|40.7573459|-73.8290408|2014-08-17 21:49:46 -0400|
|4044 Main St|Flushing|NY|11354|Queens|between 41St  Ave & 40th  Rd之间  退党中心||Coin box||||1||10|10|10|10|10|10|0|40.7573459|-73.8290408|2014-08-17 21:49:46 -0400|
|3711 Main St|Flushing|NY|11354|Queens|between 38th Ave & 37th Ave 香港超市||Newspaper box||1||||50|50|50|50|100|75|0|40.7613554|-73.83037209999999|2014-08-17 21:49:47 -0400|
|13542 39th Ave|Flushing|NY|11354|Queens|39th  Ave & Main St，在39 Ae 纽约人寿门口||Newspaper box|||1|||25|25|25|25|25|15|0|40.7600256|-73.83095399999999|2014-08-17 21:49:47 -0400|
|4005 College Point Blvd|Flushing|NY|11354|Queens|Roosevelt Ave & Collge Point Blvd，Bland Houses 門口||Newspaper box|||1|||50|50|50|50|50|50|0|40.7579965|-73.8336842|2014-08-17 21:49:47 -0400|
|13693 Roosevelt Ave|Flushing|NY|11354|Queens|Roosevelt Ave 百利超市边||Newspaper box|||1|||100|100|100|100|100|75|0|40.760706|-73.826844|2014-08-17 21:49:47 -0400|
|4002 Union St|Flushing|NY|11354|Queens|Corner ,在Union St上，Lewis Pharmacy店边||Newspaper box|||1|||50|50|50|50|90|75|0|40.7603499|-73.8264895|2014-08-17 21:49:48 -0400|
|14201 41st Ave|Flushing|NY|11355|Queens|在41st Ave 上，靠近公寓的一侧。||Newspaper box|||1|||50|50|50|50|75|75|0|40.759735|-73.825521|2014-08-17 21:49:48 -0400|
|4180 Kissena Blvd|Flushing|NY|11355|Queens|西北角，教堂一侧||Newspaper box|||1|||50|50|50|50|80|75|0|40.7572977|-73.8274059|2014-08-17 21:49:48 -0400|
|4201 Kissena Blvd|Flushing|NY|11355|Queens|東南角，眼鏡店一侧||Newspaper box||1||||100|100|100|100|100|100|0|40.7571108|-73.8270113|2014-08-17 21:49:49 -0400|
|441 Kissena Blvd|Flushing|NY|11355|Queens|Kissena Blvd & Cherry St||Newspaper box|||1|||75|75|75|75|110|75|0|40.7538522|-73.8227323|2014-08-17 21:49:49 -0400|
